Abbreviation,abvn
Centimetre,cm
Central Discussion,CD
Civil Defence,CD
Class Dicussion,CD
Compact Disc,CD
Central Mechanical Transport and Stores Depot,CMT&SD
Central Officers’ Record Office,CORO
Central Ordnance Depot,COD
Central Vehicle Depot,CVD
Centre Line,CL
Confinement to Lines,CL
Certificate,cert
Certified,cert
Certify,cert
Certified True Copy,CTC
Certified True Extract,CTE
Certificate Issue Voucher,CIV
Certificate Receipt Voucher,CRV
Change of Posture,COP
Character,char
characteristics,char
Check Post,CP
Command Post,CP
Contact Point,CP
Chemical Warfare,CW
Continuous Wave,CW
Chief Inspectorate of Armament,CIA
Chief Instructor,CI
Counter Intellignece,CI
Chief of Logistics Staff,CLS
Chief Security Officer,CSO
Civil,civ
Civilian,civ
Civil Affairs,CA
Current Affairs,CA
Civil Armed Forces,CAF
Civil Defence,CD
Central Discussion,CD
Class Discussion,CD
Compact Disc,CD
Civil General Transport Company,civ GT coy
Class Discussion,CD
Central Discussion,CD
Compact Disch,CD
Civil Defence,CD
Class,cl
ClassIfication,cl
Classified,cl
Classify,cl
Centilitre,cl
Clerk,clk
Close Air Support,CAS
Close Quarter Battle,CQB
Close Support,CS
Clothing,clo
College of Army Education,CAE
Colon (in messages only),CLN
Column,colm
Combat,cbt
Combat Group,Cbt gp
Combat Air Patrol,CAP
Company Aid Post,CAP
Combat Operation Centre,COC
Combat Zone,CZ
Combine,comb
Combined,comb
combination,comb
Combined Arms Team,CAT
Combined Military Hospital,CMH
Comma (in messages only),CMM
Command,comd
Commanded,comd
Commander,comd
Commanding,comd
Command Post Officer,CPO
Command Vehicle,CV
Concession Voucher,CV
Command Reserves,Cd R
Command and Staff College,C&SC
Command,C4I
Command,C4I2SR
Commander Corps Logistics,CC Log
Commander Division Logistics,CD Log
Commando,cdo
Commitment,cmt
commit,cmt
commited,cmt
commiting,cmt
Communicate,comm
Communicated,comm
communication,comm
Communication centre,comcen
Communication Intelligence,commint
Communication Zone,Comm Z
Company,coy
Company Headquarters,CHQ
Company Aid Post,CAP
Combat Air Patrol,CAP
Compassion,cmpn
Compassionate,cmpn
Compensate,compen
Compensation,compen
Compensation in Lieu of Bearer,CILB
Compensation In Lieu of Quarter,CILQ
Competent Financial Authority,CFA
Composite,comp
component,comp
Composite Battalion Group,CBG
Composition,composn
Compute,cpt
Computed,cpt
Computing,cpt
Computation,cpt
Computer,cptr
Concealment,clt
Concentrate,conc
Concentrated,conc
concentration,conc
Concentration Area,conc A
Concession Voucher,CV
Command Vehicle,CV
Conclude,concl
Concluded,concl
Conclusion,concl
Conclusive,concl
Conference,conf
Confidence,confd
Confidential,confd
Confidentiality,confd
Confinement to Lines,CL
Centre Line,CL
Confirm,cfm
Confirmation,cfm
Conjunction,conjunc
Consult,cslt
Consultant,cslt
Consultation,cslt
Consider,consd
Considered,consd
Considering,consd
Consideration,consd
Conservancy,consy
Construct,const
Constructed,const
Construction,const
Contact Point,CP
Check Post,CP
Command Post,CP
Contaminate,contam
Contaminated,contam
Contamination,contam
Contingency,ctgy
Continue,cont
Continued,cont
Continuation,cont
Continuous Wave,CW
Chemical Warfare,CW
Control,con
Controlled,con
Controling,con
Controller,con
Control and Reporting (as applied to air defence),C&R
Cook,ck
Cooked,ck
Cooking,ck
Cooker,ck
Convey,cvy
Conveyed,cvy
Conveying,cvy
Conveyance,cvy
Convoy,cny
Cooperate,coop
Cooperated,coop
Cooperation,coop
Cooperative,coop
Coordinate,coord
Coordinated,coord
Co-ordination,coord
Coordinating,coord
Coordinator,coord
Cordon and Search,C&S
Corps Administrative Area,CAA
Corps Reserves,CR
Casualty Return,CR
Corps Subedar Major,CSM
Corps of Artillery,Arty
Corps of Electrical and Mechanical Engineers,EME
Corps of Engineers,Engrs
Corps of Military Intelligence,CMI
Corps of Military Police,CMP
Corps of Signals,Sigs
Corps troops,C tps
Covering Troops,C tps
Correspondence,corres
Correction,orn
Corrigendum,corr
Counter,ctr
Counter-attack,C attk
Counter-Bombardment,CB
Counter-Intelligence,CI
Chief Instructure,CI
Counter penetration,C pen
Countersign,ctr sign
Countersigned,ctr sign
Countersigning,ctr sign
Countersignature,ctr sign
Counter Terrorism Course,CTC
Country,cty
Court of Inquiry,C of I
Craftsman,cfn
Craftsmen,cfn
Crossing,xing
Crossing Control Organisation,CCO
Crossing Control Officer,CCO
Cross country,X cty
Cross roads,X rds
Cubic,cu
Current Affairs,CA
Civil Affairs,CA
Cryptographic,crypto
Cryptographer,crypto
Daily Allowance,DA
Defence Attache,DA
Dispersal Area,DA
Daily Messing Allowance,DMA
Dangerously Ill,DI
Data Processing Cell,DPC
Data Processing Officer,DPO
Date of Birth,DOB
Date of Commission,DOC
Date of Enrolment,DOE
Date of Promotion,DOP
Date of Seniority,DOS
Decentralise,decen
Decentralised,decen
Decentralising,decen
Decentralisation,decen
Decontaminate,decontam
Decontaminated,decontam
Decontamination,decontam
Decrease,dec
Decreased,dec
Defence,def
Defend,def
Defended,def
Defensive,def
Defence Service Identity Card,DSIC
Defence Against Follow on Force Attack,DAFOFA
Defence Area,Def A
Defence Sector,Def S
Defence Zone,Def Z
Defence Attache,DA
Daily Allowance,DA
Dispersal Area,DA
Defensive Fire,DF
Direction Finding,DF
Defence Services Guard,DSG
Defence Services Officers’ Provident Fund,DSOP Fund
Deficient,dft
Degree,deg
Deliver,del
Delivered,del
Delivery,del
Delivery Point,DP
Demi-Official,DO
Demolish,dml
Demolished,dml
Demolition,dml
Demonstrate,demo
Demonstrated,demo
Demonstration,demo
Depart,dep
Departed,dep
Departure,dep
Depot,dep
Department,dept
Departmental,dept
Deploy,depl
Deployed,depl
Deployment,depl
Depot,dep
Depoted,dep
Depoture,dep
Deputy,dy
Desert Warfare,DW
Director of Works,DW
Desired Ground Zero,DGZ
Despatch,desp
Despatched,desp
Despatching,desp
Despatcher,desp
Despatch Rider,DR
Detach,det
Detached,det
Detachment,det
Develop,dev
Developed,dev
Development,dev
Diameter,dia
Diesel Fuel,DIESO
Diesel Oil,DIESO
Difference,diff
Different,diff
Digital Map,D map
Direct,dir
Directed,dir
Direction,dir
Directing,dir
Director,dir
Direct Support,DS
Direction Finding,DF
Defensive Fire,DF
Director of Works,DW
Desert Warfare,DW
Directorate,dte
Discharge,disch
Discharged,disch
Disposition,disposn
Disadvantage,disadv
Disadvantageous,disadv
Discipline,discp
Disciplined,discp
Disciplinary,discp
Dispersal Area,DA
Defence Attache,DA
Daily Allowance,DA
Dispersal Control Officer,DCO
Dispersal Control Organisation,DCO
Dispersal point,D pt
Distance,dist
District,dist
Distributary,disty
Distribute,distr
Distributed,distr
Distribution,distr
District,dist
Distance,dist
District Armed Services Board,DASB
District Court Martial,DCM
Ditch Cum Bund,DCB
Division,div
Divisional,div
Division Subedar Major,DSM
Divisional Administrative Area,DAA
Divisional Battle School,DBS
Document,docu
Documentary,docu
Documentation,docu
Double Ditch Cum Bund,DDCB
Draft For Approval,DFA
Draughtsman,dtmn
Draughtsmen,dtmn
Driver,dvr
Dropping Zone,DZ
Duplicate (d),dupl
Duplicating,dupl
Duplication,dupl
Ear,ENT
Earas applied to medicine,ENT
Early Offensive,EO
Early Warning,E wng
Early Warning Radar,EWR
Economic,eco
economist,eco
Education,edn
Effect,eff
Effected,eff
Effective,eff
Effectively,eff
Effectiveness,eff
Electrical and Mechanical Engineering Regulation,EMER
Electrical and Mechanical Engineers,EME
Electric,elec
Electrician,elec
Electricity,elec
Electronic Counter Countermeasures,ECCM
Electronic Countermeasures,ECM
Electronic Support Measures,ESM
Electronic Warfare,EW
Element,elm
Elements,elm
Elementary,elm
Embark,emb
Embarked,emb
Embarkation,emb
Employ,emp
Employed,emp
Employment,emp
Enclose,encl
Enclosed,encl
Enclosure,encl
Enemy,en
Engineer,engr
Engineer Construction Battalion,ECB
Engineer Report,engrep
Engineer Stores Depot,ESD
Engineer Support Plan,ESP
Enrol,enrl
Enrolled,enrl
Environment,envmt
Environmental,envmt
Equipment,eqpt
Equipment Collecting Point,ECP
Essential Elements of Information,EEI
Establish,estb
Established,estb
Establishment,estb
Estimate,est
Estimated,est
estimation,est
Estimated Time of Arrival,ETA
Estimated Time of Departure,ETD
Etcetera,etc
Evacuate,evac
Evacuated,evac
Evacuation,evac
Evaluate,eval
Evaluated,eval
Evaluation,eval
Evaluating,eval
Examination,exam
Examine,exam
Examined,exam
Exchange,exch
Exclude,excl
Excluded,excl
Excluding,excl
Exclusive,excl
Execute,exec
Executed,exec
Execution,exec
Executive,exec
Exercise,ex
Exercised,ex
Expedite,expd
Expedited,expd
Expense,exp
Expenses,exp
Expenditure,exp
Explode,expl
Exploded,expl
Explosion,expl
Explosive,expl
Explosive & Ordnance Disposal,EOD
Extension,extn
Extended,extn
Extending,extn
Extended Short Range Air Defence System,E-SHORADS
Extra Curricular Activities,ECA
Extra Regimental Employment,ERE
Facsimile,fax
Field,fd
Field General Court Martial,FGCM
Field Intelligence Unit,FIU
Field of Fire,F of F
Field Pay Office,FPO
Field Post Office,FPO
Field Security,FS
Field Service,FS
Field Service,FS
Field Security,FS
Field Service Marching Order,FSMO
Field Service Regulation,FSR
Field Transfusion Team,FTT
Fighter (aeroplane),F
Fighter Ground Attack,FGA
Fighting Echelon,F ech
Figure,fig
Financial Year,FY
Finance,fin
Finances,fin
Financial,fin
Financially,fin
Finish Point,FP
Firing Point,FP
Flank Protection,FP
Fire Control Equipment,FCE
Fire Control Instrument,FCI
Fire Control Order,FCO
Fire Control Radar,FCR
Fire for Effect,FFE
Fire Order,FO
Fire Order Line,FOL
Fire Support Plan,FSP
Firing Point,FP
Flank Protection,FP
Finish Point,FP
Firing Table,FT
Fixed Wing,FW
Frontier Warfare,FW
Flag Staff House,FSH
Flank,flk
Flanked,flk
Flanking,flk
Flank Protection,FP
Finish Point,FP
Firing Point,FP
Flight,flt
Follow,fol
Followed,fol
Following,fol
Follow in Zone,F in Z
Foot,ft
feet,ft
For Approval Please,FAP
For Example,e.g.
For Information Please,FIP
For Orders Please,FOP
Force Command Northern Area,FCNA
Forenoon,FN
Formation,fmn
Forming Up Place,FUP
Forward Ammunition Depot,FAD
Forward Area Arming and Refuelling Point,FAARP
Forward Army Air Defence Centre,FAADC
Forward Assembly Area,FAA
Forward Bridge Marshalling Harbour,FBMH
Forward Defended Locality,FDL
Forward Line of Own Troops,FLOT
Forward Looking Infra-Red Radar,FLIR
Forward Observation Base,FOB
Forward Raft Marshalling Harbour,FRMH
Frequency,freq
Frequency Modulated/Modulation,FM
Frontier Corps,FC
Frontier Force Regiment’s battalion,FF
Frontier Warfare,FW
Fixed Wing,FW
Frontier Works Organisation,FWO
Function,func
Functional,func
Gallon,gal
Garrison,gar
General,gen
Generally,gen
General Court Martial,GCM
General Duties,GD
General Headquarters,GHQ
General List,GL
General Staff (Branch),G (Br)
General Staff (Matters),G (Matters)
General Staff (Staff),G (Staff)
General Staff (Operations),G (Ops)
General Staff (Training),G (Trg)
General Staff,GS
General Staff Publication,GSP
General Staff Requirement,GSR
General Transport Company,GT coy
Geographic,geo
Geographically,geo
Geography,geo
Global Positioning System,GPS
Good Service pay,GS pay
Government,govt
Grade,grd
Graded,grd
Gradeing,grd
Grant,gt
Granted,gt
Granting,gt
Grenade,gren
Grenade Launcher Heavy Machine Gun,GLHMG
Grid Reference,GR
Ground,gr
Ground Controlled Interception (station),GCI
Ground Liaison Officer,GLO
Ground Liaison Section,GL sec
Ground Observer Team,GOT
Ground Zero,GZ
Group,gp
Grouped,gp
Grouping,gp
Guard,gd
Guarded,gd
Guarding,gd
Guerrilla Warfare,GW
Guided Missile,GM
Gun Fire,GF
Gun Fireing,GF
Gun Fire Area,GFA
Gun Missile Regiment,GM Regt
Gunner,gnr
Harassing Fire,HF
High Frequency,HF
Harbour,har
Harbour Area,HA
Head Clerk,HC
Head Works,HW
Heading,hdg
Headquarters,HQ
Heavy,hy
Heavy Anti-Tank battalion,HAT bn
Heavy Machine-Gun,HMG
Height,ht
Hide Out,HO
High Intensity Conflict,HIC
High To Medium Air Defence,HIMADS
Helicopter,hel
Helicopter borne,heliborne
Helicopter pad,helipad
High Explosive,HE
High Frequency,HF
Harassing Fire,HF
High Level,HL
High Value Target,HVT
History,hist
Historical,hist
Historically,hist
Honour,hon
Honourary,hon
Horse Power,HP
Hospital,hosp
Hospitalization,hosp
Hostile Battery,HB
Hot Photographic Interpretation Report,HOTPHOTO REP
Hour,hr
Hourly,hr
Hovering,hvg
Howitzer,how
Hundredweight,cwt
Human Resource Development Centre,HRDC
Hygiene,hyg
Hypothesis,H
Identity,ident
Identification,ident
Identified,ident
Identify,ident
Identity Card,ID Card
Identification Friend or Foe,IFF
Illuminate,ill
Illuminated,ill
Illumination,ill
Illuminating,ill
Immediate Photographic Interpretation Report,IPIR
Immediate,imed
Immediately,imed
Important,imp
Importance,imp
Improvised Explosive Device,IED
Improvised Explosive Device (Remote(ly) Controlled),RCIED
Improvised Explosive Devices (Remote(ly) Controlled),RCIED
Improvised Explosive Device (Vehicle Borne),VBIED
Improvised Explosive Devices (Vehicle Borne),VBIED
Inch,in
Incharge,IC
Internal Combustion,IC
Include,incl
Includes,incl
Included,incl
Including,incl
Inclusive,incl
Increase,inc
Increased,inc
Independent,indep
Independently,indep
Independent Ammunition Platoon,IAP
Independent Armoured Brigade Group,IABG
Independent Infantry Brigade Group,IIBG
Independent Mechanized Brigade Group,IMBG
Individual,indl
Individually,indl
Individual Exercise,IE
Individual Research Paper,IRP
Individual Running Ledger Account,IRLA
Infantry,inf
Infantry Fighting Vehicle,IFV
Infantry/Individual Reaction Course,IRC
Infiltrate,infil
Infiltrated,infil
Infiltrateing,infil
Infiltration,infil
Inform,info
Information,info
Informed,info
Information Operations,IO
Intelligence Officer,IO
Information Warfare,IW
Infra-Red,IR
In Respect Of,IRO
Inspect,insp
Inspected,insp
Inspecting,insp
Inspection,insp
Install,instl
Installed,instl
Installation,instl
Installment,instl
Insurgency,insur
Insurgent,insur
Instruct,instr
Instructed,instr
Instruction,instr
Instructor,instr
Instructor Pilot,IP
Instructional Practice,IP
Instrument,inst
Insurgent,insur
Insurgency,insur
Integrate,intg
Integration,intg
Integral,intg
Integrated Battle Group,IBG
Integrated Combat Group,ICG
Intelligence,int
Intelligence and Counter Bombardment,ICB
Intelligence Officer,IO
Information Operations,IO
Intelligence Quotient,IQ
Intelligence Report,intrep
Intelligence Summary,intsum
Intelligence Preparation of Battle Field,IPB
Intelligence,ISR
Intelligence,ISTAR
Intensive Care Unit,ICU
Intercommunication,intercom
Inter Services Intelligence,ISI
Inter Services Public Relations,ISPR
Inter Services Selection Board,ISSB
Inter Services Signal Unit,ISSU
Interdict,intd
Interdicted,intd
Interdicting,intd
Interdiction,intd
Intermediate,intmed
Internal Combustion,IC
Incharge of,IC
Internal Distribution,ID
Internal Office Note,ION
Internal Security,IS
International,intl
Internationally,intl
Interrogate,intr
Interrogated,intr
Interrogation,intr
Interrogator,intr
Introduce,intro
Introduced,intro
Introducing,intro
Introduction,intro
Issue Voucher,IV
Jamming report,jamrep
Joint,jt
Joint Air Attack Team,JAAT
Joint Operations,JO
Joint Operations Centre,JOC
Joint Operations Directorate,JO Dte
Joint Task Force Commander,JTFC
Joint Warfare,JW
Jungle Warfare,JW
Joint Interdiction Planning and Execution Cell,JIPEC
Judging Distance,JD
Junction,junc
Jungle Warfare,JW
Junior,jnr
Kerosene,K2
Killed In Action,KIA
Killing Ground,KG
Killing Zone,KZ
Kilogram,kg
Kilometre,km
Kilometres per hour,kmph
Kilometres per litre,kml
Kiloton,KT
Kilovolt Amperes,KVA
Kilowatt,KW
Know Your Enemy,KYE
Laboratory,lab
Labour,lab
Lady Officer,Ly O
Lancers,L
e.g. 6 L,L
Landing Ground,LG
Landing Strip,LS
Landing Zone,LZ
Landmark,landmk
Last Pay Certificate,LPC
Last Ration Certificate,LRC
Law Enforcing Agencies,LEAs
Leader,ldr
Leading,ldg
Leave Ration Allowance,LRA
Lecture,lec
Left,lt
Light,lt
Left Out of Battle,LOB
Letter,ltr
Level,lvl
Liaison Officer,LO
Light,lt
Left,lt
Light Aid Detachment,LAD
Light Air Defence,Lt AD
Light Anti Tank battalion,LAT bn
Light Commando Battalion,LCB
Light Machine Gun,LMG
Limit,ltd
Limited,ltd
Limitation,ltd
Line of Bomb Release,LBR
Line of Communications,L of C
Line of Control,LOC
Line of Weapon Release,LWR
Line Telegraphy,LT
Low Tension,LT
Line Shoot Down To,LSDT
Listening Post,LP
Local Purchase,LP
Litre,lit
Local Area Network,LAN
Local Purchase,LP
Listening Post,LP
Local Warning,L wng
Locate,loc
Located,loc
Locality,loc
Locating,loc
Location,loc
Location State,loc stat
Logistics,log
Logistics Requirement,log R
Logistic Support,LS
Low Intensity Conflict,LIC
Low Level Air Defence,LLAD
Low to Medium Air Defence System,LOMADS
Low Tension,LT
Line Telegraphy,LT
Machine-gun,MG
Magazine,mag
Magnetic,mag
Main Defensive Battle,MDB
Main Dressing Station,MDS
Main Supply Route,MSR
Maintain,maint
Maintained,maint
Maintenance,maint
Maintenance Area,MA
Mountain Artillery,MA
Major,maj
Management,mgmt
Manoeuvre,mnvr
Manual of Pakistan Military Law,MPML
Manufacture,mfr
Manufactured,mfr
Manufacturer,mfr
Manufacturing,mfr
Map Reading,MR
Mark,mk
Marked,mk
Married,md
Mathematical,math
Mathematics,math
Maximum,max
Meal Ready to Eat,MRE
Mean Point of Burst,mpb
Mean Point of Impact,mpi
Mechanic,mech
Mechanical,mech
Mechanized,mech
Mechanical Transport,MT
Megaton,MT
Mechanized,mech
Mechanic,mech
Mechanical,mech
Mechanized Infantry Battalion,MIB
Medical,med
Medium,med
Medical Inspection Room,MI Room
Medium,med
medical,med
Medium Air Defence,MAD
Medium Girder Bridge,MGB
Medium Intensity Conflict,MIC
Medium Anti-Tank,MAT
Medium Machine-gun,MMG
Megaton,MT
Mechanical Transport,MT
Memorandum,memo
Message,msg
Meteorological,met
Meteorology,met
Metre,M
Miles per hour,mph
Military,mil
Military College of Engineering,MCE
Military College of Signals,MCS
Military Engineering Service,MES
Military Forwarding Organisation,MFO
Military Hospital,MH
Military Intelligence,MI
Military Load Classification,MLC
Military Police,MP
Military Veterinary Hospital,MVH
Minefield,M fd
Mili Amperes,ma
Milligram,mg
Millimetre,mm
Minimum,min
Minute,min
Ministry of Defence,MoD
Miscellaneous,misc
Miscreant,msct
Missile,msl
Missing in Action,MIA
Mission,msn
Mission Report,MISREP
Mobile,mob
Mobility,mob
Mobilization,mob
Mobilize,mob
Mobile Ammunition Repair Section,MARS
Mobile Dental Unit,MDU
Mobile Laundry and Bath Company,MLBC
Mobile Surgical Team,MST
Mobile Repair Team,MRT
Model Discussion,MD
Monthly Security Intelligence Report,MSIR
Mortar,mor
Mortar Bombing Report,mortrep
Motor,mot
Motorized,mot
Motor Ambulance Company,MAC
Motor Cycle,MC
Mountain,mtn
Mountainous,mtn
Mountain Artillery,MA
Maintenance Area,MA
Mountain Warfare,MW
Mounted,mtd
Mounting,mtg
Move,mov
Moved,mov
Movement,mov
Movement Order,mov O
Moving Target Trolley system,MTTS
Mujahid,mjd
Multi Barrel Rocket Launcher,MBRL
Multiple Launch Rocket System,MLRS
Muzzle Velocity,MV
Nap of Earth,NOE
Narrative,narr
National Command Authority,NCA
National Command Centre,NCC
National Defence University,NDU
National Disaster Management Authority,NDMA
National Military Operation Centre,NMOC
National Guard,NG
National University of Modern Languages,NUML
National University of Science and Technology,NUST
National Voluntary Service,NVS
Nautical Mile,NM
Naval Headquarters,NHQ
Navigate,nav
Navigated,nav
Navigation,nav
Navigational,nav
Necessary,nec
Necessity,nec
Necessitate,nec
(d),nec
Negative,neg
Net Identification Sign,NIS
Net Centric Warfare,NCW
Neutralise,neut
Neutraliseed,neut
Neutraliseation,neut
Next of Kin,NOK
Night,ni
Night Vision Device,NVD
No Further Action,NFA
No Man’s Land,NML
No Move Before,NMB
Nomenclature,nomen
Non Combatant Bearer,NCB
Northern Command,NC
Northern Light Infantry,NLI
Not Applicable,NA
Not Available,NA
Not on Original,NOO
Note for Consideration,NFC
Nothing to Report,NTR
Nuclear,nuc
Nuclear,NBC
Nuclear,NBCD
Nuclear Warfare,NW
Nuclear Warhead,NWh
Nullah,N
Nadi,N
Nala,N
Number,no
Numbered,no
Objection,objn
Objective,obj
Observation,obsn
Observation Post,OP
Observe – Orintate – Decide – Act Cycle/Loop,OODA Cycle/Loop
Observer,obsr
Observer to Target (imaginary line),OT
Obstacle,obs
Obstacles,obs
Offence,offn
Offensive,offn
Offensive Air Support,offn
Office Automation System,OAS
Offensive Support,OS
Outstanding,OS
Ordnance Services,OS
Officer Supervisor,OS
Office Automation System,OAS
Offensive Air Support,OAS
